D = 1
 Item001, 2PL,1.14547,0.33669,0
 Item002, 2PL,0.99667,0.67078,0
 Item003, 2PL,1.17799,-0.84309,0
 Item004, 2PL,0.55538,-0.86139,0
 Item005, 2PL,1.02195,-0.56422,0
 Item006, 2PL,1.36534,-0.47577,0
 Item007, 2PL,1.01391,1.44301,0
 Item008, 2PL,0.95376,0.41854,0
 Item009, 2PL,1.34012,0.93578,0
 Item010, 2PL,0.78499,1.91557,0
 Item011, 2PL,0.73038,-1.18412,0
 Item012, 2PL,0.65001,-0.525,0
 Item013, 2PL,1.31759,-0.8436,0
 Item014, 2PL,1.09369,-0.99225,0
 Item015, 2PL,0.67146,-0.44379,0
 Item016, 2PL,0.61038,0.61151,0
 Item017, 2PL,0.83556,-0.21789,0
 Item018, 2PL,0.99685,-1.68829,0
 Item019, 2PL,0.95304,-0.72694,0
 Item020, 2PL,0.81406,-0.55206,0
 Item021, 2PL,0.86212,0.81766,0
 Item022, 2PL,0.94977,0.72089,0
 Item023, 2PL,0.70629,-0.01364,0
 Item024, 2PL,0.85352,-0.02404,0
 Item025, 2PL,0.50277,-0.87503,0
 Item026, 2PL,1.01019,1.05279,0
 Item027, 2PL,0.71839,1.94657,0
 Item028, 2PL,1.00683,-0.26104,0
 Item029, 2PL,0.98924,1.67774,0
 Item030, 2PL,0.77514,0.54831,0
